No,Type,Group,Word Template,Template Page No,{{ substation.name_erms }},{{ substation.time }},{{ substation.date }},{{ substation.ambient }},{{ substation.humidity }},{{ swg.area }},{{ panel.linknumber }},{{ panel.name }},{{ panel.cabletype }},{{ panel.breakerstatus }},{{ panel.busbarposition }},{{ panel.loadamp }},{{ panel.heateramp }},{{ swg.serialnumber }},{{ swg.manufacturer }},{{ swg.type }},{{ swg.rating }},{{ swg.model }},{{ tx1.manufacturer }},{{ tx1.model }},{{ tx1.rating }},{{ tx1.serialnumber }},{{ tx2.manufacturer }},{{ tx2.model }},{{ tx2.rating }},{{ tx2.serialnumber }},{{ fp1.manufacturer }},{{ fp1.model }},{{ fp1.rating }},{{ fp1.serialnumber }},{{ fp1.labelsource }},{{ fp2.manufacturer }},{{ fp2.model }},{{ fp2.rating }},{{ fp2.serialnumber }},{{ fp2.labelsource }},{{ batt1.manufacturer }},{{ batt1.model }},{{ batt1.serialnumber }},{{ batt2.manufacturer }},{{ batt2.model }},{{ batt2.serialnumber }},{{ batt3.manufacturer }},{{ batt3.model }},{{ batt3.serialnumber }},{{ batt4.manufacturer }},{{ batt4.model }},{{ batt4.serialnumber }},Field Overrides,Output File Name,Attribute,Folder,Image File Name
1,Overview,1,01. swg-overview.docx,1,JALAN ROBINSON,4:02 pm,01/06/2026,23.2,77,OVERVIEW,-,-,-,-,-,-,-,,TAMCO,RMU SF6,12kV,GR1,MTM,HERMETICALLY SEAL,100kVA,T/800/1452/1486,,,,,,,,,,,,,,,,,,,,,,,,,,,{},page1,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\151. JALAN ROBINSON (VI)\RAW DATA\IR,1.jpg
1,Overview,1,01. swg-overview.docx,1,JALAN ROBINSON,4:02 pm,01/06/2026,23.2,77,OVERVIEW,-,-,-,-,-,-,-,,TAMCO,RMU SF6,12kV,GR1,MTM,HERMETICALLY SEAL,100kVA,T/800/1452/1486,,,,,,,,,,,,,,,,,,,,,,,,,,,{},page1,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\151. JALAN ROBINSON (VI)\RAW DATA\IR,2.jpg
2,Overview,1,01. swg-overview.docx,2,JALAN ROBINSON,4:02 pm,01/06/2026,23.2,77,OVERVIEW TOP,-,-,-,-,-,-,-,,TAMCO,RMU SF6,12kV,GR1,MTM,HERMETICALLY SEAL,100kVA,T/800/1452/1486,,,,,,,,,,,,,,,,,,,,,,,,,,,{},page2,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\151. JALAN ROBINSON (VI)\RAW DATA\IR,3.jpg
2,Overview,1,01. swg-overview.docx,2,JALAN ROBINSON,4:02 pm,01/06/2026,23.2,77,OVERVIEW TOP,-,-,-,-,-,-,-,,TAMCO,RMU SF6,12kV,GR1,MTM,HERMETICALLY SEAL,100kVA,T/800/1452/1486,,,,,,,,,,,,,,,,,,,,,,,,,,,{},page2,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\151. JALAN ROBINSON (VI)\RAW DATA\IR,4.jpg
3,Overview,1,01. swg-overview.docx,3,JALAN ROBINSON,4:02 pm,01/06/2026,23.2,77,OVERVIEW BOTTOM,-,-,-,-,-,-,-,,TAMCO,RMU SF6,12kV,GR1,MTM,HERMETICALLY SEAL,100kVA,T/800/1452/1486,,,,,,,,,,,,,,,,,,,,,,,,,,,{},page3,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\151. JALAN ROBINSON (VI)\RAW DATA\IR,5.jpg
3,Overview,1,01. swg-overview.docx,3,JALAN ROBINSON,4:02 pm,01/06/2026,23.2,77,OVERVIEW BOTTOM,-,-,-,-,-,-,-,,TAMCO,RMU SF6,12kV,GR1,MTM,HERMETICALLY SEAL,100kVA,T/800/1452/1486,,,,,,,,,,,,,,,,,,,,,,,,,,,{},page3,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\151. JALAN ROBINSON (VI)\RAW DATA\IR,6.jpg
4,Overview,1,01. swg-overview.docx,4,JALAN ROBINSON,4:02 pm,01/06/2026,23.2,77,OVERVIEW REAR,-,-,-,-,-,-,-,,TAMCO,RMU SF6,12kV,GR1,MTM,HERMETICALLY SEAL,100kVA,T/800/1452/1486,,,,,,,,,,,,,,,,,,,,,,,,,,,{},page4,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\151. JALAN ROBINSON (VI)\RAW DATA\IR,7.jpg
4,Overview,1,01. swg-overview.docx,4,JALAN ROBINSON,4:02 pm,01/06/2026,23.2,77,OVERVIEW REAR,-,-,-,-,-,-,-,,TAMCO,RMU SF6,12kV,GR1,MTM,HERMETICALLY SEAL,100kVA,T/800/1452/1486,,,,,,,,,,,,,,,,,,,,,,,,,,,{},page4,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\151. JALAN ROBINSON (VI)\RAW DATA\IR,8.jpg
5,Overview,1,01. swg-overview.docx,5,JALAN ROBINSON,4:02 pm,01/06/2026,23.2,77,OVERVIEW SIDE (LHS),-,-,-,-,-,-,-,,TAMCO,RMU SF6,12kV,GR1,MTM,HERMETICALLY SEAL,100kVA,T/800/1452/1486,,,,,,,,,,,,,,,,,,,,,,,,,,,{},page5,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\151. JALAN ROBINSON (VI)\RAW DATA\IR,9.jpg
5,Overview,1,01. swg-overview.docx,5,JALAN ROBINSON,4:02 pm,01/06/2026,23.2,77,OVERVIEW SIDE (LHS),-,-,-,-,-,-,-,,TAMCO,RMU SF6,12kV,GR1,MTM,HERMETICALLY SEAL,100kVA,T/800/1452/1486,,,,,,,,,,,,,,,,,,,,,,,,,,,{},page5,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\151. JALAN ROBINSON (VI)\RAW DATA\IR,10.jpg
6,Overview,1,01. swg-overview.docx,6,JALAN ROBINSON,4:02 pm,01/06/2026,23.2,77,OVERVIEW SIDE (RHS),-,-,-,-,-,-,-,,TAMCO,RMU SF6,12kV,GR1,MTM,HERMETICALLY SEAL,100kVA,T/800/1452/1486,,,,,,,,,,,,,,,,,,,,,,,,,,,{},page6,Visual Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\151. JALAN ROBINSON (VI)\RAW DATA\IR,11.jpg
6,Overview,1,01. swg-overview.docx,6,JALAN ROBINSON,4:02 pm,01/06/2026,23.2,77,OVERVIEW SIDE (RHS),-,-,-,-,-,-,-,,TAMCO,RMU SF6,12kV,GR1,MTM,HERMETICALLY SEAL,100kVA,T/800/1452/1486,,,,,,,,,,,,,,,,,,,,,,,,,,,{},page6,IR Image Path,C:\Users\aremi\Desktop\REPORT CBM\PO 42289580 - Pahang 11kV SECOND CYCLE AZZAD 2026\RAW MATERIAL\151. JALAN ROBINSON (VI)\RAW DATA\IR,12.jpg
